epoch,train_loss,val_loss,swa
0,63.14743311526326,63.898975361900256,n
1,60.237628309728734,60.59015044691837,y
3,58.84454804414643,59.10073760029995,y
5,57.060772226798036,57.30506286855967,y
7,56.39030586587281,57.39459290579792,y
9,53.551022898403566,54.89678358433415,y
11,51.585628252955004,52.75673179644191,y
13,50.039465205210824,51.239849448868775,y
15,49.03541028230427,50.800860671084166,y
17,47.85429028351749,50.37811086811541,y
19,46.320530427725544,49.07583886916753,y
21,46.36439086178685,49.397583668116745,y
23,44.85261165945268,47.9736660572676,y
25,44.06206267578589,47.777078547885424,y
27,43.301773697265446,47.07890965504274,y
29,42.08775520271584,46.28041796790623,y
31,41.73049572149054,46.676193199193165,y
33,40.685265371406416,46.138152151745935,y
35,40.15711734633395,46.48210468522678,y
37,39.6851808987684,46.029759875903785,y
39,38.497063184768,46.37445396672394,y
41,38.231081855398585,46.249397675122474,y
43,37.56591741435617,45.81057400353336,y
45,36.92777942035557,46.10052269741505,y
47,36.34226822692532,45.94135100092586,y
49,36.34496557884388,45.91796263110682,y
51,35.19149467224703,45.568668287704426,y
53,34.906039970026406,46.17771420270537,y
55,34.23511220357483,45.95534448752173,y
57,33.47655452542738,45.60950074342104,y
59,33.52311186840265,45.42308507466405,y
